word,encoded_word,language
כלום,[11 12  6 24],Hebrew
המשנה,[ 5 13 21 14  5],Hebrew
photographers,[17 10 24  1 24 16 20 21 17 10 19 20  4],English
קצינים,[19 18 10 14 10 24],Hebrew
exemption,[19 15 19 18 17  1 23 24 13],English
הפגין,[ 5 17  3 10 23],Hebrew
נותר,[14  6 22 20],Hebrew
המכשול,[ 5 13 11 21  6 12],Hebrew
activated,[21  2  1 23  5 21  1 19  3],English
ירד,[10 20  4],Hebrew
distribution,[ 3 23  4  1 20 23 14  6  1 23 24 13],English
כותב,[11  6 22  2],Hebrew
זקוק,[ 7 19  6 19],Hebrew
הצדדים,[ 5 18  4  4 10 24],Hebrew
export,[19 15 17 24 20  1],English
במורד,[ 2 13  6 20  4],Hebrew
tract,[ 1 20 21  2  1],English
כספי,[11 15 17 10],Hebrew
המדבר,[ 5 13  4  2 20],Hebrew
spectrum,[ 4 17 19  2  1 20  6 18],English
לתל,[12 22 12],Hebrew
אגרופי,[ 1  3 20  6 17 10],Hebrew
swing,[ 4 29 23 13 16],English
שראה,[21 20  1  5],Hebrew
skins,[ 4 12 23 13  4],English
נסיגה,[14 15 10  3  5],Hebrew
הדת,[ 5  4 22],Hebrew
knows,[12 13 24 29  4],English
lonely,[25 24 13 19 25  9],English
showing,[ 4 10 24 29 23 13 16],English
guaranteed,[16  6 21 20 21 13  1 19 19  3],English
ממש,[13 13 21],Hebrew
interracial,[23 13  1 19 20 20 21  2 23 21 25],English
protocols,[17 20 24  1 24  2 24 25  4],English
עוף,[16  6 26],Hebrew
fly,[11 25  9],English
קראתי,[19 20  1 22 10],Hebrew
deferred,[ 3 19 11 19 20 20 19  3],English
עצמך,[16 18 13 25],Hebrew
disciplines,[ 3 23  4  2 23 17 25 23 13 19  4],English
השחקנים,[ 5 21  8 19 14 10 24],Hebrew
clean,[ 2 25 19 21 13],English
וכיוצא,[ 6 11 10  6 18  1],Hebrew
medicare,[18 19  3 23  2 21 20 19],English
revenge,[20 19  5 19 13 16 19],English
quizzes,[28  6 23  7  7 19  4],English
פולחן,[17  6 12  8 23],Hebrew
